# C_Id Nconfigs Nbases RMSError(eV/atom)
1 71 142 3.976783
2 80 160 4.684541
3 35 70 4.684077
4 25 1200 4.687529
5 249 498 4.694454
6 250 500 4.693733
7 250 500 4.693199
8 18 1152 4.694241
9 55 55 3.822272
10 56 56 3.911186
11 55 880 4.056239
12 43 86 3.675178
13 52 208 3.716462
14 23 1058 4.217998
15 53 53 3.820744
16 33 66 3.711674
17 35 35 3.789612
18 35 420 3.795033
19 24 192 3.588853
20 25 50 1.413180
21 15 45 2.221229
22 13 39 2.405161
23 13 39 2.470176
24 13 52 2.284646
25 9 36 2.626012
26 13 52 2.625883
27 10 40 2.236218
28 13 52 2.637860
29 13 65 2.521037
30 13 65 3.042163
31 13 65 3.035732
32 13 65 3.048811
33 11 55 2.486162
34 7 42 2.951907
35 11 66 3.362211
36 13 78 3.398832
37 13 78 3.397774
38 13 78 2.533808
39 10 60 2.473035
40 11 77 3.657931
41 13 104 3.271122
42 11 198 3.720149
43 11 198 3.776834
44 8 504 3.669723
45 11 396 3.956673
46 11 396 3.826847
47 11 396 3.849012
48 23 1472 3.485897
49 25 1600 3.550817
