iteration Si_B1 Si_B2 Si_B11 Si_B14 Si_B15 Si_B31 Si_B32 Si_B33 Si_B36 Si_B37 Si_B40 Si_B42 Si_B3 Si_B4 Si_B5 Si_B6 Si_B7 Si_B8 Si_B9 Si_B10 Si_B17 Si_B21 Si_B41 Si_C1 Si_C4 Si_C5 Si_C6 Si_C7 Si_C8 Si_C9 Si_C11 Si_C12 Si_C13 Si_C16 Si_C18 Si_C21 Si_C22 Si_D11 Si_D12 Si_D13 Si_D16 Si_D17 Si_D18 Si_D19 Si_D20 Si_D21 Si_D27 Si_D28 Si_D29 Si_D30 Si_T1 Si_T3 Si_T6 Si_T9 Si_T12 Si_T15 Si_T18 Si_T19 Si_T20 Si_T21 Si_T22 Si_T23 Si_L1 Si_L3 Si_A1 Si_A3 Si_S1 Si_S2 Si_S3 Si_S4 Si_S5
0 9.982735E-02 1.016720E-01 1.047042E-01 1.027122E-01 9.816989E-02 1.026141E-01 1.032865E-01 1.007240E-01 1.139294E-01 1.000684E-01 8.852783E-02 9.657017E-02 1.007824E-01 1.013471E-01 1.023792E-01 1.001930E-01 1.018694E-01 9.971943E-02 9.983023E-02 1.000090E-01 1.011495E-01 1.005749E-01 9.965020E-02 9.960315E-02 1.005850E-01 9.929232E-02 1.008119E-01 1.006803E-01 9.910395E-02 9.825841E-02 1.000444E-01 1.000561E-01 9.772791E-02 9.897120E-02 1.013503E-01 1.019303E-01 1.021871E-01 9.792192E-02 1.104693E-01 1.001723E-01 9.547383E-02 9.439510E-02 1.016416E-01 9.925891E-02 8.589602E-02 1.003442E-01 1.034386E-01 9.946539E-02 9.992775E-02 9.800342E-02 1.015577E-01 9.786523E-02 1.010791E-01 1.016366E-01 1.000535E-01 1.002444E-01 1.005674E-01 1.015806E-01 9.860860E-02 1.025007E-01 1.004250E-01 9.735329E-02 9.962668E-02 9.969324E-02 1.023529E-01 1.034888E-01 1.021067E-01 1.009479E-01 1.025505E-01 9.570346E-02 9.938559E-02
1 9.985822E-02 1.019137E-01 1.049617E-01 1.029715E-01 9.840072E-02 1.028774E-01 1.035484E-01 1.009873E-01 1.141556E-01 1.003314E-01 8.865310E-02 9.682658E-02 1.007383E-01 1.012424E-01 1.024540E-01 1.001103E-01 1.017150E-01 9.973273E-02 9.990560E-02 1.000480E-01 1.009194E-01 1.006581E-01 9.956157E-02 9.963592E-02 1.006183E-01 9.933971E-02 1.008654E-01 1.006867E-01 9.914786E-02 9.817065E-02 9.996323E-02 1.000504E-01 9.777919E-02 9.890015E-02 1.012036E-01 1.015754E-01 1.024042E-01 9.802464E-02 1.105369E-01 1.002500E-01 9.564862E-02 9.465425E-02 1.019026E-01 9.951660E-02 8.614259E-02 1.005986E-01 1.032778E-01 9.931906E-02 9.977195E-02 9.783767E-02 1.016529E-01 9.792487E-02 1.009967E-01 1.016534E-01 1.001001E-01 1.002630E-01 1.006413E-01 1.016616E-01 9.867764E-02 1.025189E-01 1.003869E-01 9.744477E-02 9.974422E-02 9.980334E-02 1.024390E-01 1.036188E-01 1.022079E-01 1.010882E-01 1.027101E-01 9.585243E-02 9.950890E-02
2 9.979124E-02 1.018283E-01 1.048776E-01 1.028867E-01 9.831847E-02 1.027912E-01 1.034627E-01 1.009014E-01 1.140763E-01 1.002452E-01 8.856966E-02 9.674162E-02 1.007265E-01 1.012536E-01 1.024443E-01 1.001059E-01 1.017310E-01 9.972038E-02 9.991755E-02 1.000639E-01 1.009559E-01 1.006069E-01 9.954000E-02 9.965487E-02 1.006510E-01 9.934893E-02 1.008496E-01 1.006587E-01 9.914335E-02 9.814899E-02 9.997400E-02 1.000415E-01 9.781810E-02 9.886884E-02 1.012062E-01 1.015178E-01 1.024316E-01 9.794141E-02 1.104577E-01 1.001700E-01 9.557367E-02 9.456815E-02 1.018176E-01 9.943157E-02 8.605956E-02 1.005146E-01 1.033493E-01 9.939317E-02 9.984734E-02 9.791528E-02 1.016742E-01 9.792926E-02 1.009777E-01 1.016936E-01 1.001206E-01 1.003192E-01 1.007036E-01 1.017329E-01 9.876565E-02 1.025370E-01 1.004421E-01 9.750772E-02 9.976419E-02 9.973767E-02 1.024133E-01 1.035467E-01 1.021348E-01 1.010138E-01 1.026369E-01 9.578271E-02 9.944634E-02
3 9.972876E-02 1.017608E-01 1.048128E-01 1.028213E-01 9.825476E-02 1.027247E-01 1.033963E-01 1.008350E-01 1.140164E-01 1.001792E-01 8.849762E-02 9.667673E-02 1.007268E-01 1.012470E-01 1.024292E-01 1.001214E-01 1.017451E-01 9.972746E-02 9.991889E-02 1.000682E-01 1.009629E-01 1.005785E-01 9.954254E-02 9.968173E-02 1.007050E-01 9.935895E-02 1.008146E-01 1.006037E-01 9.913059E-02 9.812061E-02 1.000046E-01 1.000248E-01 9.788383E-02 9.881960E-02 1.012279E-01 1.014561E-01 1.024524E-01 9.786938E-02 1.103857E-01 1.000984E-01 9.552311E-02 9.450227E-02 1.017531E-01 9.936668E-02 8.599658E-02 1.004517E-01 1.034037E-01 9.945007E-02 9.990644E-02 9.797626E-02 1.016998E-01 9.795047E-02 1.009762E-01 1.017179E-01 1.001462E-01 1.003692E-01 1.007629E-01 1.017960E-01 9.884861E-02 1.025564E-01 1.004888E-01 9.757030E-02 9.979267E-02 9.969642E-02 1.024018E-01 1.034973E-01 1.020789E-01 1.009575E-01 1.025824E-01 9.573051E-02 9.940165E-02
4 9.966365E-02 1.017010E-01 1.047569E-01 1.027644E-01 9.820008E-02 1.026663E-01 1.033384E-01 1.007770E-01 1.139678E-01 1.001212E-01 8.842822E-02 9.662189E-02 1.007375E-01 1.012255E-01 1.024058E-01 1.001560E-01 1.017550E-01 9.975265E-02 9.991287E-02 1.000628E-01 1.009359E-01 1.005710E-01 9.956665E-02 9.970999E-02 1.007762E-01 9.936566E-02 1.007579E-01 1.005186E-01 9.911340E-02 9.808759E-02 1.000546E-01 9.999941E-02 9.797894E-02 9.874891E-02 1.012666E-01 1.013816E-01 1.024707E-01 9.780073E-02 1.103134E-01 1.000271E-01 9.549129E-02 9.444560E-02 1.016988E-01 9.931144E-02 8.594365E-02 1.003998E-01 1.034464E-01 9.949408E-02 9.995643E-02 9.802845E-02 1.017332E-01 9.799337E-02 1.009909E-01 1.017261E-01 1.001797E-01 1.004146E-01 1.008227E-01 1.018539E-01 9.893454E-02 1.025790E-01 1.005298E-01 9.763765E-02 9.982860E-02 9.967566E-02 1.024025E-01 1.034651E-01 1.020347E-01 1.009130E-01 1.025396E-01 9.568912E-02 9.937074E-02
5 9.958459E-02 1.016348E-01 1.046967E-01 1.027027E-01 9.814289E-02 1.026021E-01 1.032748E-01 1.007138E-01 1.139218E-01 1.000578E-01 8.835053E-02 9.656563E-02 1.007564E-01 1.011933E-01 1.023678E-01 1.002108E-01 1.017509E-01 9.979763E-02 9.990823E-02 1.000496E-01 1.008474E-01 1.005913E-01 9.961176E-02 9.972038E-02 1.008569E-01 9.935434E-02 1.006679E-01 1.003871E-01 9.909966E-02 9.805498E-02 1.001299E-01 9.996199E-02 9.811725E-02 9.864282E-02 1.013222E-01 1.012722E-01 1.024929E-01 9.772675E-02 1.102291E-01 9.994453E-02 9.547926E-02 9.438566E-02 1.016421E-01 9.925307E-02 8.588985E-02 1.003475E-01 1.034777E-01 9.952178E-02 1.000025E-01 9.807930E-02 1.017828E-01 9.807816E-02 1.010249E-01 1.017079E-01 1.002259E-01 1.004539E-01 1.008863E-01 1.019046E-01 9.903754E-02 1.026075E-01 1.005639E-01 9.771788E-02 9.986716E-02 9.967873E-02 1.024156E-01 1.034486E-01 1.020004E-01 1.008773E-01 1.025025E-01 9.565235E-02 9.935459E-02
6 9.948432E-02 1.015473E-01 1.046163E-01 1.026200E-01 9.807233E-02 1.025158E-01 1.031891E-01 1.006291E-01 1.138727E-01 9.997296E-02 8.826095E-02 9.649767E-02 1.007793E-01 1.011703E-01 1.022980E-01 1.002783E-01 1.017073E-01 9.986039E-02 9.993144E-02 1.000366E-01 1.006456E-01 1.006539E-01 9.966793E-02 9.966415E-02 1.009119E-01 9.928285E-02 1.005269E-01 1.001855E-01 9.910712E-02 9.805124E-02 1.002330E-01 9.990938E-02 9.830857E-02 9.848800E-02 1.013856E-01 1.010910E-01 1.025323E-01 9.764955E-02 1.101302E-01 9.984583E-02 9.549265E-02 9.431179E-02 1.015687E-01 9.917606E-02 8.582208E-02 1.002817E-01 1.034813E-01 9.950358E-02 1.000412E-01 9.813089E-02 1.018584E-01 9.824038E-02 1.010738E-01 1.016373E-01 1.002850E-01 1.004641E-01 1.009384E-01 1.019242E-01 9.917232E-02 1.026397E-01 1.005721E-01 9.780730E-02 9.987716E-02 9.971038E-02 1.024347E-01 1.034442E-01 1.019820E-01 1.008571E-01 1.024655E-01 9.561444E-02 9.936280E-02
7 9.936455E-02 1.014402E-01 1.045136E-01 1.025150E-01 9.798791E-02 1.024071E-01 1.030809E-01 1.005236E-01 1.138224E-01 9.986787E-02 8.817912E-02 9.642525E-02 1.008218E-01 1.012027E-01 1.021376E-01 1.003534E-01 1.016044E-01 9.994356E-02 1.000301E-01 1.000348E-01 1.003018E-01 1.007534E-01 9.973541E-02 9.948952E-02 1.008699E-01 9.907614E-02 1.003151E-01 9.988925E-02 9.915712E-02 9.813744E-02 1.003598E-01 9.984216E-02 9.856380E-02 9.827798E-02 1.014459E-01 1.007969E-01 1.025905E-01 9.759423E-02 1.100357E-01 9.974498E-02 9.551993E-02 9.423514E-02 1.014761E-01 9.907725E-02 8.573861E-02 1.001985E-01 1.033997E-01 9.934909E-02 1.000490E-01 9.817014E-02 1.019682E-01 9.851681E-02 1.011106E-01 1.014668E-01 1.003394E-01 1.003924E-01 1.009350E-01 1.018595E-01 9.936664E-02 1.026553E-01 1.005045E-01 9.788220E-02 9.977348E-02 9.973922E-02 1.024224E-01 1.034031E-01 1.019853E-01 1.008737E-01 1.024125E-01 9.555823E-02 9.940726E-02
8 9.916550E-02 1.013917E-01 1.044578E-01 1.024689E-01 9.793009E-02 1.023692E-01 1.030392E-01 1.004912E-01 1.138073E-01 9.983756E-02 8.815932E-02 9.644606E-02 1.008747E-01 1.012809E-01 1.016816E-01 1.004521E-01 1.014457E-01 1.001585E-01 1.002110E-01 1.000965E-01 9.983676E-02 1.008279E-01 9.990784E-02 9.939605E-02 1.006380E-01 9.881490E-02 1.001235E-01 9.965086E-02 9.929047E-02 9.832855E-02 1.003659E-01 9.978281E-02 9.887271E-02 9.808818E-02 1.014423E-01 1.004320E-01 1.024956E-01 9.757475E-02 1.099757E-01 9.966696E-02 9.552601E-02 9.426781E-02 1.014406E-01 9.903064E-02 8.570004E-02 1.001649E-01 1.030904E-01 9.887455E-02 9.997738E-02 9.813997E-02 1.021632E-01 9.892765E-02 1.010379E-01 1.010998E-01 1.003517E-01 1.002194E-01 1.008792E-01 1.016541E-01 9.964699E-02 1.025937E-01 1.003047E-01 9.800569E-02 9.950575E-02 9.966572E-02 1.022923E-01 1.031625E-01 1.019835E-01 1.009593E-01 1.022781E-01 9.541609E-02 9.945247E-02
9 9.893318E-02 1.014449E-01 1.044800E-01 1.025182E-01 9.791730E-02 1.024455E-01 1.031053E-01 1.005744E-01 1.138474E-01 9.992385E-02 8.827227E-02 9.660088E-02 1.007502E-01 1.013288E-01 1.009593E-01 1.005005E-01 1.012376E-01 1.004306E-01 1.004039E-01 1.003368E-01 9.948695E-02 1.008664E-01 1.000840E-01 9.957124E-02 1.003506E-01 9.878477E-02 9.999831E-02 9.959940E-02 9.947230E-02 9.858372E-02 1.001724E-01 9.975933E-02 9.906017E-02 9.816310E-02 1.013111E-01 1.003131E-01 1.020698E-01 9.760366E-02 1.100214E-01 9.967985E-02 9.556982E-02 9.444042E-02 1.014903E-01 9.906365E-02 8.572695E-02 1.002049E-01 1.026345E-01 9.823038E-02 9.986656E-02 9.802120E-02 1.023696E-01 9.931234E-02 1.007981E-01 1.006320E-01 1.002529E-01 1.000383E-01 1.007582E-01 1.012863E-01 9.985212E-02 1.024107E-01 1.000385E-01 9.815136E-02 9.919331E-02 9.955162E-02 1.020437E-01 1.027849E-01 1.019304E-01 1.010601E-01 1.020466E-01 9.517323E-02 9.940611E-02
