GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9155531440 0.0000000000 0.0000000000 
0.0000000000 10.9155531440 0.0000000000 
0.0000000000 0.0000000000 10.9155531440 
64
carestian or direct (scaled), only the first letter matters
0.0034164991 -0.0015387406 0.0029688739	0.01496880 -0.00729999 -0.09543658
2.7311501800 2.7298828010 -0.0026337615	0.04365186 -0.00056700 0.08944928
0.0028925379 2.7292028722 2.7295447873	0.00850411 -0.01255374 -0.03753182
2.7233023197 -0.0059996574 2.7326723640	0.09636111 0.11211544 -0.04011806
1.3693355936 1.3614856737 1.3600929164	-0.02918814 0.04343379 0.06532430
4.0932808176 4.0990894825 1.3698035495	-0.04837782 -0.09810533 0.00218341
1.3651534421 4.0923038626 4.0973882579	0.01568028 -0.03923763 -0.04520658
4.0935292364 1.3637953535 4.0953862625	-0.02986932 -0.01269013 -0.04012789
0.0047073205 0.0013697435 5.4611124312	-0.05287386 0.01469058 -0.05200329
2.7260227126 2.7246527597 5.4594550464	0.08632063 0.07130271 0.01289302
0.0034118268 2.7268078228 8.1804466000	-0.02850213 0.02148256 0.10346714
2.7317411889 -0.0014119901 8.1857499819	-0.03763125 0.01030029 0.02966892
1.3667208450 1.3621788879 6.8222731339	0.01230965 -0.00062588 0.01659788
4.0992527509 4.0960863059 6.8232673005	-0.11109415 -0.02928423 0.02391667
1.3687253431 4.0902983396 9.5570353520	-0.12794053 0.03953732 -0.05781744
4.0910106619 1.3614525998 9.5545860178	0.06959350 0.02773261 -0.05659542
-0.0052438087 5.4640009419 0.0007815842	0.05109547 -0.09066464 -0.05105462
2.7330500242 8.1869387056 -0.0019575678	-0.03260132 0.02287002 0.04020044
-0.0059764944 8.1857032294 2.7298586027	0.06130016 0.04734575 -0.01278039
2.7242802368 5.4597884989 2.7312559758	0.00133707 -0.00111033 -0.01276180
1.3620341068 6.8224388568 1.3592640454	0.01053677 0.05452638 0.06621769
4.0921254417 9.5548050473 1.3671296253	0.01221377 -0.05883937 0.00282055
1.3657394495 9.5569091687 4.0926417635	-0.09418686 -0.12717472 0.01833133
4.0927945133 6.8179113797 4.0965823416	-0.00226168 0.02775297 0.00770875
0.0058607038 5.4517462401 5.4578647379	-0.07417491 0.07511679 0.05462966
2.7233581980 8.1846252549 5.4563396714	0.08194732 0.05456644 0.01615251
-0.0062531050 8.1804979918 8.1861138333	0.09849647 0.05513425 -0.01620439
2.7229428421 5.4604007111 8.1926855813	0.11065813 -0.06072410 -0.02497379
1.3703262458 6.8219451621 6.8244399167	-0.11256055 -0.02137813 -0.01868382
4.0920004011 9.5509308968 6.8264567729	-0.01151433 -0.05506696 -0.06858619
1.3674337677 9.5465210908 9.5463696352	-0.05403435 0.00830911 0.03384529
4.0912001012 6.8197151042 9.5566569894	0.06083971 0.01773931 -0.06976824
5.4593017139 -0.0031861004 -0.0005205835	-0.01190191 0.01899053 0.01404937
8.1893425867 2.7289641373 0.0054434658	-0.01700699 0.02788012 -0.10136298
5.4589405047 2.7254885630 2.7255799731	-0.02804206 0.03908238 0.05386490
8.1815693047 0.0051320977 2.7326235446	0.07527149 -0.00489115 -0.08952736
6.8213345960 1.3668409910 1.3611805886	0.00045074 -0.03800705 0.01484719
9.5525370470 4.0938196989 1.3634537046	0.01270707 -0.00353974 0.03476896
6.8266943795 4.0887936896 4.0936508132	-0.06147001 0.00040003 -0.00542386
9.5498331364 1.3678637036 4.0939496722	0.07689958 -0.05903612 -0.00818250
5.4523786954 -0.0002295052 5.4622755045	0.07697228 -0.05542155 -0.07716990
8.1899871016 2.7242965018 5.4558323808	-0.03870488 0.04045452 0.03504694
5.4607298317 2.7269401316 8.1845578294	0.01296634 -0.01436677 0.03493938
8.1843948574 0.0021018965 8.1816950450	0.03249313 -0.04016188 0.11469096
6.8260401390 1.3590731659 6.8175305010	-0.06351601 0.06581512 0.01562049
9.5457661855 4.0915113259 6.8236218650	0.09583557 -0.01600852 -0.03795828
6.8231440848 4.0993891466 9.5504926484	-0.02354477 -0.10733679 0.06753051
9.5521210007 1.3625442915 9.5525931825	0.00889068 0.01958851 -0.02797217
5.4523600933 5.4538122867 0.0062553810	0.09421952 0.08546645 -0.03775170
8.1901449620 8.1825108595 0.0003993542	-0.00081730 0.04391478 0.00362206
5.4546810359 8.1865300473 2.7345169574	0.02481724 0.00557716 -0.05370078
8.1830084789 5.4520541686 2.7254753268	0.08276314 0.07413499 0.07272404
6.8251505587 6.8246642492 1.3673697709	-0.08148787 -0.03340903 -0.01440406
9.5520223447 9.5569193355 1.3616845627	-0.04446615 -0.04041149 0.06794890
6.8274844557 9.5526412123 4.0873071284	-0.10816647 -0.01573176 0.12905501
9.5516140168 6.8240001322 4.0984289765	-0.02802808 -0.10258081 -0.04347726
5.4618390736 5.4569253276 5.4607038687	-0.01579072 -0.04330454 -0.07046804
8.1828082656 8.1827702611 5.4594281802	0.07247801 0.09996642 0.02597908
5.4593883364 8.1839365249 8.1810428301	-0.02716186 -0.01447429 0.11147942
8.1929275430 5.4530350482 8.1918020640	-0.10514579 0.05919023 -0.08751890
6.8206413178 6.8180045263 6.8205962832	0.07307569 -0.00638451 0.06318667
9.5567817888 9.5565604710 6.8273148403	-0.08678656 -0.08751145 -0.08166785
6.8240430456 9.5469024141 9.5546835183	0.00041087 0.00124739 -0.08282234
9.5490199040 6.8204755947 9.5451808006	0.01278246 0.01223467 0.07629755
-347.17189200
GRP-DC-C-PERTURBED+ISO+SMALL
1.000000
10.9159950603 0.0000000000 0.0000000000 
0.0000000000 10.9159950603 0.0000000000 
0.0000000000 0.0000000000 10.9159950603 
64
carestian or direct (scaled), only the first letter matters
-0.0046217702 0.0081013406 -0.0148165693	0.04155083 -0.16493719 0.18199477
2.7447200374 2.7508684677 0.0113104153	-0.14797253 -0.32355668 -0.12948670
0.0000602035 2.7182448844 2.7408219719	0.12057111 0.15845847 -0.11788100
2.7362288470 -0.0169483512 2.7450354388	-0.17368404 0.12719209 -0.26278842
1.3635910346 1.3608668720 1.3502971575	0.12692075 0.02240562 0.22182197
4.1048716838 4.0947855073 1.3470191778	-0.02168116 0.11399896 0.33070167
1.3849033802 4.1024274590 4.0860391730	-0.21597566 -0.24120202 -0.01919354
4.1042502814 1.3528066049 4.0817810180	-0.25295270 0.16870089 0.31665440
0.0147144230 0.0145316730 5.4401680864	-0.06900700 0.01108257 0.28465490
2.7239943646 2.7426249182 5.4738157723	0.11500583 -0.20687116 -0.27336344
-0.0218729862 2.7106486547 8.1726985343	0.22956719 0.14280516 0.51313878
2.7508028574 -0.0094497238 8.1973542729	-0.23843343 0.26178295 0.05674641
1.3654545994 1.3832046653 6.8329892843	0.12695883 -0.37106809 -0.04227631
4.0750484035 4.1125763555 6.8066195660	0.29117182 -0.07535579 0.09865742
1.3776257474 4.0950178359 9.5650642265	-0.20246349 -0.20508016 -0.30796415
4.1032954478 1.3808890118 9.5574673109	0.05626576 -0.10600425 -0.00787094
0.0055538935 5.4384993084 0.0015010752	-0.13719823 0.14387759 0.02599151
2.7113879621 8.1776250159 0.0209948123	0.20191579 0.02962073 -0.16590304
-0.0002232640 8.1713643609 2.7428000361	-0.07268279 0.13644395 -0.27027340
2.7313126587 5.4440775803 2.7264137350	0.18765917 0.23503849 -0.07553823
