# C_Id Nconfigs Nbases RMSError(eV/atom)
1 165 330 3.675459
2 80 160 4.618770
3 120 240 3.689613
4 179 179 3.423022
5 161 161 3.337772
6 168 168 3.349957
7 173 2768 3.528811
8 146 584 3.583469
9 147 1764 3.340131
10 139 278 3.271465
11 77 3542 4.247281
12 114 912 3.445141
13 19 1216 3.580470
14 21 1344 3.619816
15 143 143 3.433613
16 400 3200 4.628574
17 250 500 4.627955
18 250 500 4.627421
19 57 114 1.566241
20 54 270 2.561052
21 50 250 3.105973
22 50 250 3.115894
23 51 255 3.109913
24 51 306 2.875562
25 49 294 3.381259
26 47 282 3.491369
27 48 288 3.482537
28 47 282 2.614807
29 46 322 3.688252
30 49 392 3.345345
31 25 75 2.553941
32 54 216 2.573642
33 53 212 2.667052
34 52 208 2.204610
35 53 212 2.713762
36 10 180 3.812713
37 6 378 3.824283
38 10 360 3.995621
39 10 360 3.899350
40 10 360 3.925891
41 10 180 3.777585
