SFs111 # comment line
1 # universal scaling factor
3.82131803e+00 0.00000000e+00 0.00000000e+00 # first Bravais lattice vector
1.91065902e+00 3.30935849e+00 0.00000000e+00 # second Bravais lattice vector
0.00000000e+00 0.00000000e+00 2.80808380e+01 # third Bravais lattice vector
18
C # direct or cartesian, only first letter is significant
0.00000000e+00 0.00000000e+00 0.00000000e+00 Si
1.91065902e+00 1.10311950e+00 3.12009311e+00 Si
1.91065902e+00 -1.10311950e+00 6.24018622e+00 Si
0.00000000e+00 0.00000000e+00 9.36027933e+00 Si
1.91065902e+00 1.10311950e+00 1.24803724e+01 Si
1.91065902e+00 -1.10311950e+00 1.56004655e+01 Si
0.00000000e+00 0.00000000e+00 1.87205587e+01 Si
1.91065902e+00 1.10311950e+00 2.18406518e+01 Si
1.91065902e+00 -1.10311950e+00 2.49607449e+01 Si
0.00000000e+00 0.00000000e+00 2.34006983e+00 Si
1.91065902e+00 1.10311950e+00 5.46016294e+00 Si
1.91065902e+00 -1.10311950e+00 8.58025605e+00 Si
0.00000000e+00 0.00000000e+00 1.17003492e+01 Si
1.91065902e+00 1.10311950e+00 1.48204423e+01 Si
1.91065902e+00 -1.10311950e+00 1.79405354e+01 Si
0.00000000e+00 0.00000000e+00 2.10606285e+01 Si
1.91065902e+00 1.10311950e+00 2.41807216e+01 Si
1.91065902e+00 -1.10311950e+00 2.73008147e+01 Si
